Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
2.75422870333822e+008	(-5.27314076876292e+001dB,-1.14758337863720e+002°)
2.88403150312666e+008	(-5.23642026771347e+001dB,-1.15692191681630e+002°)
3.01995172040208e+008	(-5.19978968793977e+001dB,-1.16657892643434e+002°)
3.16227766016844e+008	(-5.16323759689681e+001dB,-1.17654841021308e+002°)
3.31131121482598e+008	(-5.12674671681099e+001dB,-1.18682466087962e+002°)
3.46736850452539e+008	(-5.09029340248380e+001dB,-1.19740252021980e+002°)
3.63078054770109e+008	(-5.05384708309883e+001dB,-1.20827776120445e+002°)
3.80189396320569e+008	(-5.01736970959468e+001dB,-1.21944760600103e+002°)
3.98107170553505e+008	(-4.98081525656917e+001dB,-1.23091139126594e+002°)
4.16869383470344e+008	(-4.94412933697038e+001dB,-1.24267138879286e+002°)
4.36515832240175e+008	(-4.90724899823123e+001dB,-1.25473378380448e+002°)
4.57088189614885e+008	(-4.87010277893730e+001dB,-1.26710980435295e+002°)
4.78630092322648e+008	(-4.83261111407963e+001dB,-1.27981698294108e+002°)
5.01187233627283e+008	(-4.79468718241882e+001dB,-1.29288051530952e+002°)
5.24807460249784e+008	(-4.75623828894429e+001dB,-1.30633466145088e+002°)
5.49540873857636e+008	(-4.71716786591738e+001dB,-1.32022411101251e+002°)
5.75439937337169e+008	(-4.67737815448856e+001dB,-1.33460521087063e+002°)
6.02559586074371e+008	(-4.63677359272082e+001dB,-1.34954692933626e+002°)
6.30957344480207e+008	(-4.59526488347032e+001dB,-1.36513141279441e+002°)
6.60693448007610e+008	(-4.55277364736543e+001dB,-1.38145398106734e+002°)
6.91830970918951e+008	(-4.50923748524354e+001dB,-1.39862241235816e+002°)
7.24435960075006e+008	(-4.46461518733140e+001dB,-1.41675539188326e+002°)
7.58577575029200e+008	(-4.41889174305312e+001dB,-1.43598004357142e+002°)
7.94328234724299e+008	(-4.37208273825558e+001dB,-1.45642853256054e+002°)
8.31763771102689e+008	(-4.32423769005906e+001dB,-1.47823381563922e+002°)
8.70963589956100e+008	(-4.27544187764194e+001dB,-1.50152472166573e+002°)
9.12010839355930e+008	(-4.22581629247562e+001dB,-1.52642065499601e+002°)
9.54992586021457e+008	(-4.17551546274520e+001dB,-1.55302631888551e+002°)
1.00000000000002e+009	(-4.12472310708097e+001dB,-1.58142693566766e+002°)
1.04712854805092e+009	(-4.07364583631119e+001dB,-1.61168447565032e+002°)
1.09647819614321e+009	(-4.02250542876332e+001dB,-1.64383537446505e+002°)
1.14815362149691e+009	(-3.97153051549774e+001dB,-1.67789009851593e+002°)
1.20226443461744e+009	(-3.92094876604865e+001dB,-1.71383469938655e+002°)
1.25892541179420e+009	(-3.87098078592206e+001dB,-1.75163418947753e+002°)
1.31825673855644e+009	(-3.82183684779488e+001dB,-1.79123720993152e+002°)
