time	V(bf_source)	V(samplecap)
3.323107199629303e-002	-7.402833391978635e-002	-9.335378560074140e-002
3.333107199629303e-002	-7.401022373883806e-002	-9.333378560074139e-002
3.343107199629303e-002	-7.399211355809980e-002	-9.331378560074140e-002
3.353107199629303e-002	-7.397400337724694e-002	-9.329378560074139e-002
3.363107199629303e-002	-7.395589319674821e-002	-9.327378560074140e-002
3.373107199629303e-002	-7.393778301654737e-002	-9.325378560074139e-002
3.383107199629303e-002	-7.391967283619158e-002	-9.323378560074140e-002
3.393107199629303e-002	-7.390156265592957e-002	-9.321378560074140e-002
3.403107199629303e-002	-7.388345247576197e-002	-9.319378560074139e-002
3.413107199629303e-002	-7.386534229541597e-002	-9.317378560074140e-002
3.423107199629303e-002	-7.384723211511989e-002	-9.315378560074139e-002
3.433107199629303e-002	-7.382912193496177e-002	-9.313378560074140e-002
3.443107199629303e-002	-7.381101175501109e-002	-9.311378560074139e-002
3.453107199629303e-002	-7.379290157542548e-002	-9.309378560074140e-002
3.463107199629303e-002	-7.377479139566297e-002	-9.307378560074139e-002
3.473107199629303e-002	-7.375668121573198e-002	-9.305378560074139e-002
3.483107199629303e-002	-7.373857103625145e-002	-9.303378560074140e-002
3.493107199629303e-002	-7.372046085689846e-002	-9.301378560074139e-002
3.503107199629303e-002	-7.370235067732699e-002	-9.299378560074140e-002
3.513107199629303e-002	-7.368424049784791e-002	-9.297378560074139e-002
3.523107199629303e-002	-7.366613031862615e-002	-9.295378560074140e-002
3.533107199629303e-002	-7.364802013973047e-002	-9.293378560074139e-002
3.543107199629303e-002	-7.362990996104570e-002	-9.291378560074140e-002
3.553107199629303e-002	-7.361179978200934e-002	-9.289378560074139e-002
3.563107199629303e-002	-7.359368960278308e-002	-9.287378560074139e-002
3.573107199629303e-002	-7.357557942387774e-002	-9.285378560074140e-002
3.583107199629303e-002	-7.355746924510904e-002	-9.283378560074139e-002
3.593107199629303e-002	-7.353935906656202e-002	-9.281378560074140e-002
3.603107199629303e-002	-7.352124888808122e-002	-9.279378560074139e-002
3.613107199629303e-002	-7.350313870947330e-002	-9.277378560074140e-002
3.623107199629303e-002	-7.348502853115584e-002	-9.275378560074139e-002
