Freq.	(V(n005)/I(R5)-50)/(V(n005)/I(R5)+50)
3.31131121482599e+009	(-3.31529703736080e+001dB,1.37280398081601e+002°)
3.46736850452540e+009	(-3.31710309052137e+001dB,1.01979088945175e+002°)
3.63078054770110e+009	(-3.31969858456540e+001dB,6.54124750803761e+001°)
3.80189396320570e+009	(-3.32276808661982e+001dB,2.75038524136977e+001°)
3.98107170553507e+009	(-3.32604485789670e+001dB,-1.18295573156035e+001°)
4.16869383470346e+009	(-3.32931208554343e+001dB,-5.26759058329619e+001°)
4.36515832240177e+009	(-3.33240211111442e+001dB,-9.51281224569253e+001°)
4.57088189614886e+009	(-3.33519436963068e+001dB,-1.39283398989704e+002°)
4.78630092322650e+009	(-3.33761215071770e+001dB,1.74757282449407e+002°)
5.01187233627285e+009	(-3.33961759668602e+001dB,1.26889601615174e+002°)
5.24807460249786e+009	(-3.34120385803341e+001dB,7.70063018461110e+001°)
5.49540873857638e+009	(-3.34238359070288e+001dB,2.49974249197585e+001°)
5.75439937337171e+009	(-3.34317454403448e+001dB,-2.92498075921740e+001°)
6.02559586074373e+009	(-3.34358556595635e+001dB,-8.58516182346223e+001°)
6.30957344480209e+009	(-3.34360813211243e+001dB,-1.44928758035404e+002°)
6.60693448007613e+009	(-3.34321716227255e+001dB,1.53392261091476e+002°)
6.91830970918954e+009	(-3.34238035799272e+001dB,8.89782145654501e+001°)
7.24435960075008e+009	(-3.34107088988217e+001dB,2.16887560382459e+001°)
7.58577575029203e+009	(-3.33927749056186e+001dB,-4.86235039936531e+001°)
